uniprot,entry_name,receptor,receptor_highlight,receptor_desc,adhesion,other,other_desc,transporter,secreted_highlight,secreted_desc,transmembrane,secretion,peripheral,iuhpar_ligand,cytoplasm,extracellular,tags,tags_reason,tags_description,integrin_interaction
P25106,ACKR3_HUMAN,TRUE,TRUE,Atipical_chemokine_receptor_add,TRUE,TRUE,CoReceptor_Acts as coreceptor with CXCR4 for a restricted number of HIV isolates (uniprot),FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,To_comment,Receptor_add,CoReceptor_Acts as coreceptor with CXCR4 for a restricted number of HIV isolates (uniprot),FALSE
P04626,ERBB2_HUMAN,TRUE,TRUE,https://www.ncbi.nlm.nih.gov/pubmed/22505611,FALSE,FALSE,,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,FALSE
A1KXE4,F168B_HUMAN,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,To_comment,Adhesion_add,,FALSE
A6NM45,CLD24_HUMAN,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,To_comment,Adhesion_add,Claudins,FALSE
C9JDP6,CLD25_HUMAN,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,To_comment,Adhesion_add,Claudins,FALSE
H7C241,CLD34_HUMAN,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,To_comment,Adhesion_add,Claudins,FALSE
O00501,CLD5_HUMAN,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,To_comment,Adhesion_add,Claudins,FALSE
O14493,CLD4_HUMAN,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,To_comment,Adhesion_add,Claudins,FALSE
O15551,CLD3_HUMAN,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,To_comment,Adhesion_add,Claudins,FALSE
O75508,CLD11_HUMAN,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,To_comment,Adhesion_add,Claudins,FALSE
O75712,CXB3_HUMAN,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,To_comment,Adhesion_add,Gap junction,FALSE
O95377,CXB5_HUMAN,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,To_comment,Adhesion_add,Gap junction,FALSE
O95452,CXB6_HUMAN,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,To_comment,Adhesion_add,Gap junction,FALSE
O95471,CLD7_HUMAN,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,To_comment,Adhesion_add,Claudins,FALSE
O95484,CLD9_HUMAN,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,To_comment,Adhesion_add,Claudins,FALSE
O95500,CLD14_HUMAN,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,To_comment,Adhesion_add,Claudins,FALSE
O95832,CLD1_HUMAN,TRUE,FALSE,,TRUE,FALSE,,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,To_comment,Adhesion_add,Claudins,FALSE
P05026,AT1B1_HUMAN,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,To_comment,Adhesion_add,,FALSE
P06731,CEAM5_HUMAN,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,To_comment,Adhesion_add,,FALSE
P08034,CXB1_HUMAN,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,To_comment,Adhesion_add,Gap junction,FALSE
P14415,AT1B2_HUMAN,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,To_comment,Adhesion_add,,FALSE
P16422,EPCAM_HUMAN,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,To_comment,Adhesion_add,,FALSE
P17302,CXA1_HUMAN,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,To_comment,Adhesion_add,Gap junction,FALSE
P29033,CXB2_HUMAN,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,To_comment,Adhesion_add,Gap junction,FALSE
P29323,EPHB2_HUMAN,TRUE,FALSE,,TRUE,FALSE,,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,To_comment,Adhesion_add,,FALSE
P31997,CEAM8_HUMAN,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,To_comment,Adhesion_add,,FALSE
P35212,CXA4_HUMAN,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,To_comment,Adhesion_add,Gap junction,FALSE
