comments_interaction,iuphar,partner_a,partner_b,source
,True,P48061,P25106,guidetopharmacology.org
,True,P48061,P49682,guidetopharmacology.org
,True,O14625,P25106,guidetopharmacology.org
,True,Q99731,O00421,guidetopharmacology.org
,True,Q99731,P49682,guidetopharmacology.org
,True,P0DMC3,P35414,guidetopharmacology.org
,True,Q9ULZ1,P35414,guidetopharmacology.org
,True,P01019,P30556,guidetopharmacology.org
,True,P01019,P50052,guidetopharmacology.org
,True,Q14393,P30530,guidetopharmacology.org
,True,Q14393,Q12866,guidetopharmacology.org
,True,Q14393,Q06418,guidetopharmacology.org
,True,P07225,P30530,guidetopharmacology.org
,True,P07225,Q06418,guidetopharmacology.org
,True,Q9Y275,Q96RJ3,guidetopharmacology.org
,True,P07492,P30550,guidetopharmacology.org
,True,P01042,P46663,guidetopharmacology.org
,True,P01024,Q16581,guidetopharmacology.org
,True,P01031,P21730,guidetopharmacology.org
,True,P01031,Q9P296,guidetopharmacology.org
,True,P01350,P32239,guidetopharmacology.org
,True,P06307,P32239,guidetopharmacology.org
,True,Q99616,P32246,guidetopharmacology.org
,True,P13501,O95800,guidetopharmacology.org
,True,P55774,P32246,guidetopharmacology.org
,True,Q9NRJ3,P46092,guidetopharmacology.org
,True,Q9NRJ3,P51677,guidetopharmacology.org
,True,O15467,Q9H3N8,guidetopharmacology.org
,True,P51671,P41597,guidetopharmacology.org
,True,O00175,P41597,guidetopharmacology.org
,True,P78556,P49682,guidetopharmacology.org
,True,Q99969,Q99788,guidetopharmacology.org
,True,Q99969,P46091,guidetopharmacology.org
,True,P09919,P07333,guidetopharmacology.org
,True,P04141,P07333,guidetopharmacology.org
,True,P55089,Q13324,guidetopharmacology.org
,True,Q96RP3,Q13324,guidetopharmacology.org
,True,Q969E3,Q13324,guidetopharmacology.org
,True,P35318,P30988,guidetopharmacology.org
,True,P35318,Q96LB1,guidetopharmacology.org
,True,Q7Z4H4,P30988,guidetopharmacology.org
,True,P01258,P30988,guidetopharmacology.org
,True,P10997,P30988,guidetopharmacology.org
,True,P10092,P30988,guidetopharmacology.org
,True,Q9H2A7,O00574,guidetopharmacology.org
,True,O95150,Q93038,guidetopharmacology.org
,True,P01189,Q01726,guidetopharmacology.org
,True,P01189,P41968,guidetopharmacology.org
,True,P01189,P32245,guidetopharmacology.org
,True,P01189,P33032,guidetopharmacology.org
,True,Q92838,Q9UNE0,guidetopharmacology.org
,True,Q92838,Q9HAV5,guidetopharmacology.org
,True,P20800,P25101,guidetopharmacology.org
,True,Q9NRA1,P35916,guidetopharmacology.org
,True,P04083,P21462,guidetopharmacology.org
,True,P04083,P25089,guidetopharmacology.org
,True,P05067,P25090,guidetopharmacology.org
,True,P49913,P25090,guidetopharmacology.org
,True,P0DJI8,P25090,guidetopharmacology.org
,True,Q9NRV9,P25089,guidetopharmacology.org
,True,Q9UBC7,P47211,guidetopharmacology.org
,True,Q9UBC7,O43603,guidetopharmacology.org
,True,Q9UBC7,O60755,guidetopharmacology.org
,True,P22466,P47211,guidetopharmacology.org
,True,P22466,O43603,guidetopharmacology.org
,True,P22466,O60755,guidetopharmacology.org
,True,Q99988,Q6UXV0,guidetopharmacology.org
,True,Q9UBU3,Q92847,guidetopharmacology.org
,True,Q969E1,Q92847,guidetopharmacology.org
,True,P01275,O95838,guidetopharmacology.org
,True,O43555,P30968,guidetopharmacology.org
,True,P01241,P10912,guidetopharmacology.org
,True,P01242,P10912,guidetopharmacology.org
,True,P01160,P16066,guidetopharmacology.org
,True,P16860,P16066,guidetopharmacology.org
,True,P23582,P20594,guidetopharmacology.org
,True,Q02747,P25092,guidetopharmacology.org
,True,Q16661,P25092,guidetopharmacology.org
,True,Q7Z6A9,Q92956,guidetopharmacology.org
,True,O43557,Q92956,guidetopharmacology.org
,True,Q6UWT2,Q15760,guidetopharmacology.org
,True,Q6UXB2,Q9HC97,guidetopharmacology.org
,True,P07602,O15354,guidetopharmacology.org
,True,P07602,O60883,guidetopharmacology.org
,True,Q2MKA7,Q9BXB1,guidetopharmacology.org
,True,Q2MKA7,O75473,guidetopharmacology.org
,True,Q2MKA7,Q9HBX8,guidetopharmacology.org
,True,Q6UXX9,Q9BXB1,guidetopharmacology.org
,True,Q6UXX9,O75473,guidetopharmacology.org
,True,Q6UXX9,Q9HBX8,guidetopharmacology.org
,True,Q9BXY4,Q9BXB1,guidetopharmacology.org
,True,Q9BXY4,O75473,guidetopharmacology.org
,True,Q9BXY4,Q9HBX8,guidetopharmacology.org
,True,Q2I0M5,Q9BXB1,guidetopharmacology.org
,True,Q2I0M5,O75473,guidetopharmacology.org
,True,Q2I0M5,Q9HBX8,guidetopharmacology.org
,True,P01210,Q96LB2,guidetopharmacology.org
,True,P40933,Q13261,guidetopharmacology.org
,True,Q15726,Q969F8,guidetopharmacology.org
,True,O00253,P41968,guidetopharmacology.org
,True,O00253,P32245,guidetopharmacology.org
,True,O00253,P33032,guidetopharmacology.org
,True,P61366,P17342,guidetopharmacology.org
,True,Q5H8A3,Q9HB89,guidetopharmacology.org
,True,Q5H8A3,Q9GZQ4,guidetopharmacology.org
,True,P48645,Q9HB89,guidetopharmacology.org
